OID_,OBJECTID_1,OBJECTID_2,OBJECTID,GEOMETRYID,CREATEDATE,EDITDATE,NOTES,TRLNAME,TRLSTATUS,TRLSURFACE,TRLUSE,CREATEUSER,EDITUSER,TRLALTNAME,MAPLABEL,TRLTYPE,TRLCLASS,SEASDESC,MAINTAINER,ISEXTANT,UNITCODE,UNITNAME,GROUPCODE,REGIONCODE,MAPMETHOD,MAPSOURCE,SRCESCALE,SOURCEDATE,XYACCURACY,FACLOCID,FACASSETID,FEATUREID,SEASONAL,TRLFEATTYP,SEGNAME,SEGMENT,UNIT,UNITNUM,STANDARD,USERCLASS,HORSE_USE,OLDNAME,FMSSINFO,FMSS_YRBLT,Lngth_Mtrs,Lngth_Mile,GlobalID,Shape_Leng,PUBLICDISP,DATAACCESS,Shape__Len,GlobalID_2,min_elevat,max_elevat,total_elev
10,11.000000000000000,11.000000000000000,11.000000000000000,5adae212-ebe4-45c5-a597-5f76ae1228e2,1442534400000.000000000000000,1691164734660.000000000000000, ,Lower Crystal Lake Trail,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,CRYSTAL LAKE TRAIL,Crystal Lakes Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,40134, , ,No,Park Trail,"CRYSTAL LAKE, LOWER",RR-03,BLACK CANYON/ROARING RIVER,6.000000000000000,E,F,N,CRYSTAL LAKE TRAIL,"RR-03 Crystal Lake, lower portion",1915,1530.289283309290113,0.950875774682558,{88560080-4888-4BA7-966B-6FFEF86E1C03},1529.731505109999944,Public Map Display,Unrestricted,1529.731505112579953,38831b2f-b304-4403-97ad-8e1c4b9d0f9b,3394.809814453125000,3683.192138671875000,-288.382324218750000
11,12.000000000000000,12.000000000000000,12.000000000000000,034ffbbb-df2c-45c9-a225-fd8e092548b7,1442534400000.000000000000000,1691164734957.000000000000000, ,Thunder Pass,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,THUNDER PASS TRAIL,Thunder Pass Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14939, , ,No,Park Trail,THUNDER PASS,NS-01,NEVER SUMMER,5.000000000000000,E,ALL,Y,THUNDER PASS TRAIL,NS-01 Thunder Pass,1915,2692.222412221679861,1.672866104311360,{D7F1B928-E739-42B4-BFC9-B592CB394B59},2691.324907509999775,Public Map Display,Unrestricted,2691.324907509810146,06e2da7a-32f0-4ee4-9021-85ebd782d5de,3247.014160156250000,3391.742431640625000,-144.728271484375000
12,13.000000000000000,13.000000000000000,13.000000000000000,c0af5b95-0de0-4078-ab6c-9d0b7aaaa2fb,1442534400000.000000000000000,1691164735204.000000000000000, ,Thunder Pass,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,THUNDER PASS TRAIL,Thunder Pass Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14939, , ,No,Park Trail,THUNDER PASS,NS-01,NEVER SUMMER,5.000000000000000,E,ALL,Y,THUNDER PASS TRAIL,NS-01 Thunder Pass,1915,297.941321542986998,0.185131783919624,{AD40D40C-1BF9-49C3-91F7-0A5CDCE90879},297.841725940000003,Public Map Display,Unrestricted,297.841725936063995,920b62ea-ece4-4ec0-8869-55fab80fd2d1,3117.489501953125000,3117.489501953125000,0.000000000000000
13,14.000000000000000,14.000000000000000,14.000000000000000,0a36291d-0e98-4a76-9b4d-ac4d9cfe6710,1442534400000.000000000000000,1691164735593.000000000000000, ,Upper Lawn Lake Trail,Existing,Gravel,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LAWN LAKE TRAIL,Lawn Lake Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,40133, , ,No,Park Trail,"LAWN LAKE, UPPER",RR-02,BLACK CANYON/ROARING RIVER,6.000000000000000,D,ALL,Y,LAWN LAKE TRAIL,"RR-02 Lawn Lake, upper portion",1915,1008.976771965879948,0.626947845838018,{488CC7DC-F079-4C9C-8D31-1BAD710ECCC9},1008.608023340000045,Public Map Display,Unrestricted,1008.608023342589945,5dc6884a-0dcc-462e-9086-66b09ce82fd9,3394.809814453125000,3504.561279296875000,-109.751464843750000
14,15.000000000000000,15.000000000000000,15.000000000000000,d55d1b0b-d997-4700-a2d6-8361144254a7,1442534400000.000000000000000,1691164735903.000000000000000, ,Skeleton Gulch,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,SKELETON GULCH TRAIL,Skeleton Gulch Tr,Standard Terra Trail,Class 2: Moderately Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14948, , ,No,Park Trail,SKELETON GULCH,NS-10,NEVER SUMMER,5.000000000000000,F,ALL,N,SKELETON GULCH TRAIL,NS-10 Skeleton Gulch,1915,1788.979218302170011,1.111617926523930,{14BCEFBA-213C-4B9B-90E4-B3C71ED58C7E},1788.385259630000064,Public Map Display,Unrestricted,1788.385259631839972,ac1607f2-dae0-43c5-bc57-9bd961341813,3247.014160156250000,3472.682373046875000,-225.668212890625000
15,16.000000000000000,16.000000000000000,16.000000000000000,503db8c5-bbf0-4001-8085-894b2bae0c62,1442534400000.000000000000000,1691164736181.000000000000000, ,Skeleton Gulch,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,SKELETON GULCH TRAIL,Skeleton Gulch Tr,Standard Terra Trail,Class 2: Moderately Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14948, , ,No,Park Trail,SKELETON GULCH,NS-10,NEVER SUMMER,5.000000000000000,F,ALL,N,SKELETON GULCH TRAIL,NS-10 Skeleton Gulch,1915,553.823590983002987,0.344129336758220,{F60B8A06-CB74-48B3-A4F4-DE587FBC7319},553.638652849999971,Public Map Display,Unrestricted,553.638652848654033,bf3b3f89-ad42-4bd1-aa19-73350a56f21d,3117.489501953125000,3247.014160156250000,-129.524658203125000
16,17.000000000000000,17.000000000000000,17.000000000000000,c90e9975-4e44-4548-b9da-4a97e9b1b8df,1442534400000.000000000000000,1691164736463.000000000000000,GPSed by Emily,Little Yellowstone Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LITTLE YELLOWSTONE TRAIL,Little Yellowstone Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14945, , ,No,Park Trail,LITTLE YELLOWSTONE,NS-07,NEVER SUMMER,5.000000000000000,E,ALL,Y,LITTLE YELLOWSTONE TRAIL,NS-07 Little Yellowstone Trail,1915,2776.467541545980112,1.725213496064790,{4006BFF2-F0DA-44DB-8C52-6088E0CD29B4},2775.531034069999805,Public Map Display,Unrestricted,2775.531034074880154,4780eed0-421e-4860-ae32-731ba05dbef6,3099.152099609375000,3214.726318359375000,97.236816406250000
17,18.000000000000000,18.000000000000000,18.000000000000000,7b230d00-2f50-4390-87d3-546d69a1b5e8,1442534400000.000000000000000,1691164736716.000000000000000, ,Lulu City Network Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LULU CITY TRAIL,CO River Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14940, , ,No,Park Trail,LULU CITY NETWORK,NS-02,NEVER SUMMER,5.000000000000000,D,ALL,Y,LULU CITY TRAIL,NS-02 Lulu City Trail network,1915,73.985973991822604,0.045972660922634,{EFA68762-7869-4A1B-85EE-7A108E158D6F},73.961100189999996,Public Map Display,Unrestricted,73.961100187305206,d490cd57-187c-4253-ae22-641562ef1756,3117.489501953125000,3117.489501953125000,0.000000000000000
18,19.000000000000000,19.000000000000000,19.000000000000000,dc45e505-0421-4d78-8fed-640aabec274d,1442534400000.000000000000000,1691164737135.000000000000000, ,Thunder Pass,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,THUNDER PASS TRAIL,Thunder Pass Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14939, , ,No,Park Trail,THUNDER PASS,NS-01,NEVER SUMMER,5.000000000000000,E,ALL,Y,THUNDER PASS TRAIL,NS-01 Thunder Pass,1915,1318.891062883920085,0.819519273133522,{44D2F69A-6FDC-46A3-9446-39CEF10F90F3},1318.448906379999926,Public Map Display,Unrestricted,1318.448906383599933,686eb727-8c38-4c36-b75b-1f30239fc9a1,3117.489501953125000,3117.489501953125000,0.000000000000000
19,20.000000000000000,20.000000000000000,20.000000000000000,8047b4b6-91be-4df4-b80f-c9ec25601e10,1442534400000.000000000000000,1691164737546.000000000000000, ,Lulu City Network Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LULU CITY TRAIL,CO River Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14940, , ,No,Park Trail,LULU CITY NETWORK,NS-02,NEVER SUMMER,5.000000000000000,D,ALL,Y,LULU CITY TRAIL,NS-02 Lulu City Trail network,1915,1357.322438921850107,0.843399375321231,{3251A3D7-C4BE-4554-A4F3-6AE8689F516E},1356.865830890000097,Public Map Display,Unrestricted,1356.865830889450081,28bb46d5-081b-4e58-a4ca-5ccbc127c549,2978.055419921875000,3117.489501953125000,-139.434082031250000
20,21.000000000000000,21.000000000000000,21.000000000000000,5651749a-91ca-4300-866f-fb29133c8af0,1442534400000.000000000000000,1691164737804.000000000000000, ,Lulu City Network Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LULU CITY TRAIL,CO River Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14940, , ,No,Park Trail,LULU CITY NETWORK,NS-02,NEVER SUMMER,5.000000000000000,D,ALL,Y,LULU CITY TRAIL,NS-02 Lulu City Trail network,1915,1414.454415129280051,0.878899468491788,{E3FB6FD9-6456-4D8D-A06C-833B3BCCA191},1413.978353149999975,Public Map Display,Unrestricted,1413.978353152009959,3192bed4-3c0c-4c8b-ba3c-3fea7b0437f9,2978.055419921875000,3117.489501953125000,-139.434082031250000
21,22.000000000000000,22.000000000000000,24.000000000000000,9a4763c5-a3f1-4c4a-9a53-180efe6579ec,1442534400000.000000000000000,1691164738064.000000000000000, ,West Creek Falls,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,WEST CREEK FALLS TRAIL,West Creek Falls Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,32718, , ,No,Park Trail,WEST CREEK FALLS,NF-06,NORTH FORK,9.000000000000000,E,F/E,Y,WEST CREEK FALLS TRAIL,NF-06 West Creek Falls,1915,1087.224531645580100,0.675568652318283,{D6CDDA3A-C089-4F5B-B1B5-AE1FDF1D9A1C},1086.814931249999972,Public Map Display,Unrestricted,1086.814931250750078,cacc3268-c877-46e4-9580-7fb24be62e7d,2534.220703125000000,2680.462646484375000,-146.241943359375000
22,23.000000000000000,23.000000000000000,27.000000000000000,2f82b765-5f7a-4c32-aa48-ee356000fe33,1442534400000.000000000000000,1691164738319.000000000000000, ,Alpine Ridge Trail,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,ALPINE RIDGE,Alpine Ridge Trail,Standard Terra Trail,Class 5: Fully Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,20803, , ,No,Park Trail,MARMOT POINT,TR-07,TRAIL RIDGE,7.000000000000000,B,F,N,ALPINE RIDGE,TR-07 Marmot Point (AVC Trail),1985,493.705066406910021,0.306773492178662,{0E93E53F-7BC3-4949-AB37-A6B7845B3466},493.532302770000001,Public Map Display,Unrestricted,493.532302767656972,ed16ab9f-cbec-4a76-8468-a9dddc87b7f6,3361.846191406250000,3460.248046875000000,98.401855468750000
23,24.000000000000000,24.000000000000000,28.000000000000000,d83dcd91-04c5-4c35-a7cb-6094b27ee060,1442534400000.000000000000000,1691164738618.000000000000000, ,"North Boundary, Upper",Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,NORTH BOUNDARY TRAIL,North Boundary Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,32717, , ,No,Park Trail,"NORTH BOUNDARY, UPPER",NF-04,NORTH FORK,9.000000000000000,E,F/E,Y,NORTH BOUNDARY TRAIL,"NF-04 North Boundary, upper portion",1915,2196.063068472220039,1.364567597944300,{50F0A8AD-9F8F-4331-8C26-BFF1BD5DDE60},2195.234127289999833,Public Map Display,Unrestricted,2195.234127291169898,65c4f968-59a7-42a9-9f42-41146adefb66,2502.625244140625000,2534.220703125000000,31.595458984375000
24,25.000000000000000,25.000000000000000,29.000000000000000,f557eae4-508b-4f9e-aebb-632bb0e9b576,1442534400000.000000000000000,1691164738941.000000000000000, ,Hitchens Gulch / Lake Of The Clouds Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LAKE OF THE CLOUDS TRAIL,Lake Of The Clouds Trail,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14949, , ,No,Park Trail,HITCHENS GULCH/LAKE OF THE CLOUDS,NS-11,NEVER SUMMER,5.000000000000000,D,ALL,N,LAKE OF THE CLOUDS TRAIL,NS-11 Hitchens Gulch/Lake of the Clouds,1915,2217.129226329720041,1.377657475388280,{1DE33F21-CB13-4C58-8C99-B5A591976543},2216.394377390000045,Public Map Display,Unrestricted,2216.394377391980015,cbf6a82b-ed61-4da5-96c0-61d66316bd03,3214.901367187500000,3504.430175781250000,-289.528808593750000
25,26.000000000000000,26.000000000000000,32.000000000000000,6368c840-097f-4af0-bd6c-5cfd2d38c8ad,1442534400000.000000000000000,1691164739200.000000000000000, ,Lower Cow Creek Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,COW CREEK TRAIL,Cow Creek Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14912, , ,No,Park Trail,"COW CREEK, LOWER",BC-01,BLACK CANYON/ROARING RIVER,6.000000000000000,D,F/E,Y,COW CREEK TRAIL,"BC-01 Cow Creek Trail, lower portion",1915,240.781475380276987,0.149614373196362,{664C11A0-5350-4DA5-8D27-AF806F5A7638},240.690535670000003,Public Map Display,Unrestricted,240.690535674050011,97ce8fe3-ce70-4f7d-ba7b-a9050610da61,2502.625244140625000,2502.625244140625000,0.000000000000000
26,27.000000000000000,27.000000000000000,33.000000000000000,48e7a017-4da9-4677-b96f-5a5eb9d4d753,1442534400000.000000000000000,1691164740803.000000000000000, ,Bridel Veil Falls Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,COW CREEK TRAIL,Bridel Veil Falls Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14913, , ,No,Park Trail,BRIDEL VEIL FALLS,BC-02,BLACK CANYON/ROARING RIVER,6.000000000000000,E,F/E,Y,COW CREEK TRAIL,BC-02 Bridal Veil Falls Trail,1915,1746.115895541099917,1.084983945824700,{5CB7CF07-4C73-4C46-B688-67208E188EEA},1745.463089509999918,Public Map Display,Unrestricted,1745.463089507680024,dcafb365-4170-476b-8537-d0d4d1f638bf,2729.868408203125000,2876.464599609375000,146.596191406250000
